longitude,latitude,technology
-7.741961,12.65336,Amaranth
-7.741993,12.65318,Amaranth
-7.735381,12.62991,Amaranth
-7.735383,12.62991,Amaranth
-6.004093,11.36968,Amaranth
-7.735341,12.62988,Amaranth
-7.741785,12.65406,Amaranth
-6.004525,11.36933,Amaranth
-6.004778,11.36925,Amaranth
-6.004939,11.36919,Amaranth
-7.735379,12.6299,Amaranth
-7.740523,12.65447,Amaranth
-6.005305,11.36919,Amaranth
-6.005324,11.36921,Amaranth
-6.005326,11.36923,Amaranth
-6.005716,11.36924,Amaranth
-7.73689,12.63981,Amaranth
-7.713021,12.64718,Amaranth
-7.712619,12.64712,Amaranth
-6.005074,11.36976,Amaranth
-6.005081,11.36978,Amaranth
-6.00505,11.36983,Amaranth
-6.005145,11.37001,Amaranth
-6.005043,11.37004,Amaranth
-6.005031,11.37016,Amaranth
-6.004992,11.37023,Amaranth
-6.004996,11.37029,Amaranth
-6.004976,11.37033,Amaranth
-6.004888,11.3703,Amaranth
-6.004748,11.37013,Amaranth
-6.004816,11.37003,Amaranth
-6.004805,11.37004,Amaranth
-6.004751,11.36996,Amaranth
-5.831321,11.36766,Amaranth
-5.831331,11.36767,Amaranth
-5.831289,11.36773,Amaranth
-5.831293,11.36773,Amaranth
-5.831355,11.36778,Amaranth
-5.831331,11.36776,Amaranth
-5.831357,11.36751,Amaranth
-5.831338,11.3675,Amaranth
-5.832351,11.36759,Amaranth
-5.83132,11.36753,Amaranth
-5.831293,11.36779,Amaranth
-5.831277,11.36781,Amaranth
-5.831266,11.36781,Amaranth
-5.831322,11.36752,Amaranth
-5.831259,11.36783,Amaranth
-5.832356,11.36758,Amaranth
-5.831244,11.36783,Amaranth
-5.83234,11.36757,Amaranth
-5.83112,11.36797,Amaranth
-5.831086,11.36797,Amaranth
-5.622706,11.31347,Amaranth
-5.83108,11.36801,Amaranth
-5.837003,11.33449,Amaranth
-5.712669,11.36287,Amaranth
-5.712686,11.36287,Amaranth
-5.712682,11.36288,Amaranth
-5.712803,11.3628,Amaranth
-5.712823,11.36282,Amaranth
-5.712671,11.36287,Amaranth
-5.712822,11.36282,Amaranth
-5.712825,11.36283,Amaranth
-5.712666,11.36286,Amaranth
-5.712695,11.36288,Amaranth
-7.495818,11.41365,Amaranth
-7.497151,11.41524,Amaranth
-7.497245,11.41036,Amaranth
-7.495858,11.40925,Amaranth
-7.49582,11.40922,Amaranth
-7.498812,11.42517,Amaranth
-7.500537,11.41746,Amaranth
-7.498426,11.41419,Amaranth
-7.498405,11.41421,Amaranth
-7.498421,11.41419,Amaranth
-7.498471,11.41413,Amaranth
-7.498489,11.41412,Amaranth
-7.498589,11.41416,Amaranth
-7.500637,11.41417,Amaranth
-7.496726,11.41034,Amaranth
-7.496762,11.41034,Amaranth
-7.498415,11.41415,Amaranth
-7.498418,11.41418,Amaranth
-7.498419,11.41412,Amaranth
-7.498434,11.41409,Amaranth
-7.498435,11.41413,Amaranth
-7.49854,11.41409,Amaranth
-7.493843,11.41427,Amaranth
-7.493836,11.41427,Amaranth
-7.489622,11.41748,Amaranth
-7.493809,11.41428,Amaranth
-7.493843,11.41421,Amaranth
-7.493756,11.41426,Amaranth
-7.493813,11.41434,Amaranth
-7.493768,11.4143,Amaranth
-7.493714,11.41436,Amaranth
-7.489513,11.41757,Amaranth
-7.49369,11.41437,Amaranth
-7.491563,11.42131,Amaranth
-7.49165,11.42134,Amaranth
-7.491596,11.42133,Amaranth
-7.491593,11.42132,Amaranth
-7.491618,11.42132,Amaranth
-7.493686,11.41438,Amaranth
-7.493826,11.41431,Amaranth
-7.493775,11.41434,Amaranth
-7.493737,11.41432,Amaranth
-7.493747,11.41435,Amaranth
-7.493759,11.41439,Amaranth
-7.49375,11.41436,Amaranth
-7.493734,11.41433,Amaranth
-7.493722,11.41439,Amaranth
-7.489597,11.41758,Amaranth
-7.495329,11.43896,Amaranth
-7.492358,11.43969,Amaranth
-7.492373,11.43976,Amaranth
-7.49535,11.43895,Amaranth
-7.495464,11.43895,Amaranth
-7.495442,11.43897,Amaranth
-7.49548,11.43893,Amaranth
-7.495222,11.43891,Amaranth
-7.495283,11.439,Amaranth
-7.495358,11.43898,Amaranth
-7.495301,11.43896,Amaranth
-7.495315,11.43896,Amaranth
-7.495262,11.43907,Amaranth
-7.470858,11.42154,Amaranth
-7.502115,11.43234,Amaranth
-7.502039,11.43236,Amaranth
-7.50201,11.43233,Amaranth
-7.502106,11.43234,Amaranth
-7.470872,11.42154,Amaranth
-7.502113,11.43233,Amaranth
-7.48227,11.43203,Amaranth
-7.502113,11.43233,Amaranth
-7.502129,11.43233,Amaranth
-7.502133,11.43232,Amaranth
-7.502109,11.43234,Amaranth
-7.470862,11.42151,Amaranth
-7.502043,11.43236,Amaranth
-7.50201,11.43234,Amaranth
-7.470851,11.42152,Amaranth
-7.502148,11.4323,Amaranth
-7.558269,11.37659,Amaranth
-7.558962,11.37512,Amaranth
-7.559378,11.37587,Amaranth
-7.497516,11.44251,Amaranth
-7.554984,11.37462,Amaranth
-7.495603,11.42853,Amaranth
-7.497215,11.44262,Amaranth
-7.497375,11.4426,Amaranth
-7.49735,11.44263,Amaranth
-7.495649,11.42856,Amaranth
-7.497572,11.44254,Amaranth
-7.497579,11.4425,Amaranth
-7.497479,11.4424,Amaranth
-7.497442,11.44236,Amaranth
-7.497442,11.44236,Amaranth
-7.497396,11.44242,Amaranth
-7.497379,11.44241,Amaranth
-7.497333,11.44244,Amaranth
-7.497319,11.44246,Amaranth
-7.575158,11.3193,Amaranth
-7.576727,11.32772,Amaranth
-7.639452,12.49914,Amaranth
-7.496392,11.42319,Amaranth
-7.496454,11.42321,Amaranth
-7.558287,11.37664,Amaranth
-7.4964,11.42317,Amaranth
-7.49638,11.42318,Amaranth
-7.556356,11.37314,Amaranth
-7.557646,11.3725,Amaranth
-7.496363,11.42316,Amaranth
-7.558954,11.37513,Amaranth
-7.496331,11.42319,Amaranth
-7.496344,11.42322,Amaranth
-7.496308,11.42321,Amaranth
-7.496355,11.42325,Amaranth
-7.496345,11.42323,Amaranth
-7.427162,11.37647,Amaranth
-7.436338,11.35779,Amaranth
-7.436748,11.35786,Amaranth
-7.439784,11.35899,Amaranth
-7.493141,11.41813,Amaranth
-7.42692,11.37669,Amaranth
-7.43982,11.35901,Amaranth
-7.436618,11.35779,Amaranth
-7.42742,11.37672,Amaranth
-7.492936,11.4181,Amaranth
-7.430367,11.3744,Amaranth
-7.427101,11.37722,Amaranth
-7.482307,11.43193,Amaranth
-7.482296,11.432,Amaranth
-7.482299,11.43198,Amaranth
-7.42732,11.37649,Amaranth
-7.426858,11.37707,Amaranth
-7.427106,11.37672,Amaranth
-7.426832,11.37676,Amaranth
-7.427378,11.37693,Amaranth
-7.427456,11.37676,Amaranth
-7.427185,11.37641,Amaranth
-7.482332,11.43198,Amaranth
-7.482324,11.43198,Amaranth
-7.482313,11.43198,Amaranth
-7.485211,11.42681,Amaranth
-7.438171,11.35737,Amaranth
-7.427272,11.37631,Amaranth
-7.427185,11.37992,Amaranth
-7.485223,11.42681,Amaranth
-7.427295,11.37716,Amaranth
-7.427174,11.37647,Amaranth
-7.427359,11.37676,Amaranth
-7.427315,11.37657,Amaranth
-7.427116,11.3766,Amaranth
-7.437833,11.35727,Amaranth
-7.437796,11.35721,Amaranth
-7.438015,11.35694,Amaranth
-7.437572,11.35923,Amaranth
-7.437682,11.35709,Amaranth
-7.438228,11.35748,Amaranth
-7.437775,11.35717,Amaranth
-7.587989,11.35882,Amaranth
-7.589831,11.35975,Amaranth
-7.590547,11.36001,Amaranth
-7.590075,11.35999,Amaranth
-7.588061,11.35894,Amaranth
-7.590312,11.36001,Amaranth
-7.58777,11.35837,Amaranth
-7.588167,11.35929,Amaranth
-7.589923,11.35981,Amaranth
-7.590519,11.35995,Amaranth
-7.479903,11.43446,Amaranth
-7.588134,11.35925,Amaranth
-7.588041,11.359,Amaranth
-7.58802,11.35891,Amaranth
-7.587929,11.35913,Amaranth
-7.479897,11.43447,Amaranth
-7.479941,11.43446,Amaranth
-7.589935,11.3598,Amaranth
-7.590333,11.36002,Amaranth
-7.479936,11.43465,Amaranth
-7.59033,11.36002,Amaranth
-7.590593,11.35995,Amaranth
-7.590609,11.35995,Amaranth
-7.479991,11.43462,Amaranth
-7.479985,11.43462,Amaranth
-7.479915,11.43448,Amaranth
-7.588194,11.3621,Amaranth
-7.586634,11.36493,Amaranth
-7.589953,11.35984,Amaranth
-7.59049,11.36002,Amaranth
-7.586634,11.36502,Amaranth
-7.590532,11.36003,Amaranth
-7.480181,11.43481,Amaranth
-7.480186,11.43479,Amaranth
-7.587721,11.35852,Amaranth
-7.480182,11.43477,Amaranth
-7.480189,11.43479,Amaranth
-7.480183,11.43478,Amaranth
-7.480207,11.43476,Amaranth
-7.480201,11.43475,Amaranth
-7.453313,11.42991,Amaranth
-7.480186,11.43479,Amaranth
-7.480202,11.43481,Amaranth
-7.479932,11.43469,Amaranth
-7.588057,11.36231,Amaranth
-7.480257,11.43481,Amaranth
-7.48027,11.43474,Amaranth
-7.480224,11.43478,Amaranth
-7.480269,11.43482,Amaranth
-7.784613,11.8269,Amaranth
-7.7841,11.82687,Amaranth
-7.784381,11.8269,Amaranth
-7.784505,11.82681,Amaranth
-7.784592,11.82662,Amaranth
-7.784388,11.82662,Amaranth
-7.784291,11.8266,Amaranth
-7.784658,11.82683,Amaranth
-7.7846,11.82663,Amaranth
-7.784279,11.82662,Amaranth
-7.78956,11.82583,Amaranth
-7.784747,11.82681,Amaranth
-7.784803,11.82685,Amaranth
-7.784134,11.82683,Amaranth
-7.784307,11.8266,Amaranth
-7.78396,11.82665,Amaranth
-7.784644,11.82654,Amaranth
-7.784644,11.82654,Amaranth
-7.784775,11.82664,Amaranth
-7.784035,11.82703,Amaranth
-7.784686,11.82678,Amaranth
-7.784147,11.82695,Amaranth
-7.784527,11.82653,Amaranth
-7.784728,11.82659,Amaranth
-7.789482,11.82559,Amaranth
-7.784112,11.82684,Amaranth
-7.784243,11.82661,Amaranth
-7.935552,12.4924,Amaranth
-7.73142,12.65592,Amaranth
-7.727215,12.6596,Amaranth
-7.640646,12.49886,Amaranth
-7.731521,12.65592,Amaranth
-7.729575,12.65587,Amaranth
-7.729579,12.65587,Amaranth
-7.729174,12.65186,Amaranth
-7.729182,12.65186,Amaranth
-8.153208,12.78888,Amaranth
-8.153285,12.78867,Amaranth
-8.153223,12.78867,Amaranth
-8.152828,12.78892,Amaranth
-8.153152,12.78855,Amaranth
-8.153166,12.78857,Amaranth
-8.153151,12.78856,Amaranth
-8.153109,12.78849,Amaranth
-8.153376,12.78885,Amaranth
-8.153589,12.78882,Amaranth
-8.1537,12.78881,Amaranth
-8.153925,12.78893,Amaranth
-8.153833,12.78891,Amaranth
-8.153594,12.78866,Amaranth
-8.153754,12.78853,Amaranth
-8.153545,12.78835,Amaranth
-8.15359,12.78815,Amaranth
-8.153495,12.78799,Amaranth
-8.153488,12.78792,Amaranth
-8.12432,12.7491,Amaranth
-8.124611,12.74913,Amaranth
-8.124609,12.74913,Amaranth
-8.125032,12.7504,Amaranth
-7.980737,12.59291,Amaranth
-8.12502,12.75038,Amaranth
-8.124225,12.75086,Amaranth
-8.123542,12.75156,Amaranth
-7.735238,12.63003,Amaranth
-7.73538,12.62991,Amaranth
-7.735291,12.62988,Amaranth
-7.735321,12.62988,Amaranth
-7.735374,12.62989,Amaranth
-7.735226,12.63003,Amaranth
-8.295954,12.37133,Amaranth
-8.338485,12.35928,Amaranth
-8.278631,12.30939,Amaranth
-8.341274,12.36463,Amaranth
-8.296559,12.37977,Amaranth
-8.337618,12.37222,Amaranth
-8.328775,12.37939,Amaranth
-8.295729,12.3717,Amaranth
-8.338316,12.35838,Amaranth
-8.338755,12.36868,Amaranth
-8.338471,12.36199,Amaranth
-8.32607,12.32115,Amaranth
-8.312017,12.32971,Amaranth
-8.306261,12.32758,Amaranth
-8.338278,12.36499,Amaranth
-8.339609,12.36552,Amaranth
-8.38703,12.35296,Amaranth
-8.278567,12.30924,Amaranth
-8.278476,12.3091,Amaranth
-8.278566,12.3101,Amaranth
-8.278296,12.3089,Amaranth
-8.27816,12.30917,Amaranth
-8.341995,12.36898,Amaranth
-8.278437,12.30984,Amaranth
-8.341587,12.36848,Amaranth
-7.959266,12.38531,Amaranth
-7.95935,12.38541,Amaranth
-7.963674,12.38835,Amaranth
-7.958913,12.38514,Amaranth
-7.958324,12.38558,Amaranth
-7.959408,12.38567,Amaranth
-7.960414,12.38677,Amaranth
-7.958798,12.38517,Amaranth
-7.959059,12.38565,Amaranth
-7.958957,12.38516,Amaranth
-7.959616,12.38555,Amaranth
-7.959217,12.38558,Amaranth
-7.958611,12.38597,Amaranth
-7.959155,12.3851,Amaranth
-7.959866,12.38552,Amaranth
-7.959383,12.3851,Amaranth
-7.958201,12.38562,Amaranth
-7.95875,12.38637,Amaranth
-7.959008,12.38566,Amaranth
-7.96074,12.38709,Amaranth
-7.95848,12.38565,Amaranth
-7.959857,12.38545,Amaranth
-7.963775,12.38848,Amaranth
-7.966083,12.38614,Amaranth
-7.959614,12.38493,Amaranth
-7.959601,12.38535,Amaranth
-7.961696,12.38629,Amaranth
-7.639499,12.49914,Amaranth
-7.660562,12.49727,Amaranth
-7.639385,12.49902,Amaranth
-7.639454,12.49917,Amaranth
-7.639565,12.49896,Amaranth
-7.650789,12.53564,Amaranth
1.869489,6.410264,Amaranth
1.909018,6.413993,Amaranth
1.855794,6.411635,Amaranth
1.872942,6.388226,Amaranth
1.90913,6.414058,Amaranth
1.859716,6.397125,Amaranth
1.918873,6.403791,Amaranth
1.911431,6.393311,Amaranth
1.856723,6.446148,Amaranth
1.835378,6.438371,Amaranth
1.883692,6.420119,Amaranth
2.131869,6.585292,Amaranth
2.126117,6.587237,Amaranth
2.145192,6.49469,Amaranth
2.145519,6.495563,Amaranth
2.145131,6.494554,Amaranth
2.145554,6.495563,Amaranth
