"","items","worth","worst_regret","regret","worthSE","regretSE"
"1","A2004",0.223025836215718,0.0116163247071286,0.00133080061538748,0.0773815209801919,0.000834323273932428
"2","Poli",0.0703929697480478,0.0670285013226933,0.0621922800942082,0.0126586146098252,0.0247987305956957
"3","Akeri",0.0656634699170554,0.0763998620576758,0.070917263853941,0.0141930535110711,0.0335242014273097
"4","AVAM1941",0.064645460000093,0.0757611938150773,0.0714657687500359,0.015468051795681,0.032681067042903
"5","AC-NL",0.0742956586894625,0.074071914853019,0.0717784111501418,0.0137327322370025,0.0314943549385868
"6","AM-NKGN",0.0622840451883419,0.0737667719302743,0.0745688961819285,0.00985624988842632,0.0310039835182213
"7","AVAM1939",0.0488632687071161,0.0754850590767958,0.0785299059437379,0.00165849467655748,0.0317057848534788
"8","A2002",0.0691205681959633,0.0771259598515948,0.0785549344173522,0.0248729486881628,0.0341483590850224
"9","Madiira 2",0.0695488027038176,0.0780505854416534,0.078839898164989,0.019383025729347,0.0350290092971237
"10","IP-5-Sel",0.0554426034073514,0.0768142476059043,0.078999990261555,0.00992527254438323,0.0334836823170348
"11","Local",0.0562720352347548,0.0767739945504869,0.0810885582670925,0.0133464242802436,0.033659891069768
"12","Madiira 1",0.045167267980766,0.0783799800265396,0.0833229993571008,0.00585686719963778,0.0343318404171489
"13","AVAM1938",0.0462553797487419,0.0792516751610805,0.0841851605699326,0.00977414018077358,0.0352111822364098
"14","Nguruma",0.04902263426277,0.0794739296000764,0.0842251323725969,0.00958998622409453,0.035801263910395
